id,emp_no,first_name,last_name,title,from_date,salary
7526,50814,Aamer,Daescu,Senior Engineer,1988-09-16,49220
9606,61761,Aamer,Feinberg,Senior Staff,1999-11-03,45996
20378,210129,Aamer,Frijda,Senior Engineer,1995-11-06,40000
48663,466972,Aamer,Haldar,Senior Engineer,1996-03-25,46892
36617,299725,Aamer,Holburn,Senior Engineer,1996-12-08,40231
19492,205248,Aamer,Imataki,Senior Engineer,1994-08-24,40000
29853,262801,Aamer,Krider,Senior Engineer,2000-08-14,40000
17334,103641,Aamer,Loncour,Engineer,1996-03-19,56711
16778,100534,Aamer,Luga,Staff,1996-04-08,95161
5847,41743,Aamer,Lunt,Senior Engineer,1988-05-22,48669
5457,39647,Aamer,Massonet,Engineer,1996-11-26,55875
22190,220170,Aamer,McFarlan,Senior Engineer,1996-09-30,51722
17002,101778,Aamer,Peha,Senior Engineer,2000-09-12,40000
14657,88788,Aamer,Picel,Senior Staff,1988-10-10,40000
22794,223399,Aamer,Radivojevic,Engineer,1999-11-07,45792
53218,491629,Aamer,Schapiro,Senior Engineer,1999-08-23,81500
11824,74202,Aamer,Schneeberger,Senior Engineer,1993-10-14,48172
9531,61415,Aamer,Schwartzbauer,Staff,1997-04-30,83124
28488,255361,Aamer,Spell,Assistant Engineer,1995-08-21,40000
31690,272876,Aamer,Standera,Senior Staff,1991-12-30,40000
33410,282485,Aamer,Strandh,Senior Engineer,1991-03-14,40000
2401,23269,Aamer,Szmurlo,Senior Engineer,1988-05-25,49962
25050,235609,Aamer,Talmor,Senior Staff,1992-03-11,53897
11187,70791,Aamod,Avouris,Senior Engineer,1994-09-24,51105
6355,44610,Aamod,Cronan,Senior Engineer,1997-02-10,56065
50924,479463,Aamod,Isard,Technique Leader,1992-03-25,49481
32288,276240,Aamod,Kitsuregawa,Senior Engineer,1996-08-15,40000
29519,260969,Aamod,Leuchs,Senior Staff,1995-08-05,40000
27050,247408,Aamod,Perez,Senior Engineer,1993-11-05,54944
12000,75166,Aamod,Snyers,Engineer,1996-11-14,71375
53724,494473,Aamod,Suri,Senior Engineer,2000-07-05,59639
12324,76816,Aamod,Terlouw,Engineer,1996-03-18,42142
35234,292331,Aamod,Vesna,Engineer,1998-03-05,55580
31314,270783,Aamod,Vilarrasa,Staff,1998-02-24,62493
46092,452891,Abdelaziz,Bennet,Senior Staff,1996-03-18,48035
5747,41147,Abdelaziz,Chimia,Senior Engineer,1992-08-14,40000
45541,449838,Abdelaziz,Cmelik,Senior Engineer,1998-12-20,50795
7689,51639,Abdelaziz,Czap,Senior Staff,1996-11-10,97345
4121,32180,Abdelaziz,Hofman,Senior Staff,1994-04-24,58455
46033,452574,Abdelaziz,Kampfer,Senior Engineer,1994-06-19,46011
34359,287446,Abdelaziz,Krichel,Engineer,1999-06-25,40000
11101,70311,Abdelaziz,Kugler,Senior Staff,1996-02-16,40000
40188,419504,Abdelaziz,Masamoto,Senior Engineer,1998-06-26,49754
2812,25308,Abdelaziz,Mayerwieser,Senior Engineer,1993-09-02,40000
48775,467620,Abdelaziz,Melichar,Senior Staff,2001-12-20,40000
31285,270564,Abdelaziz,Pearson,Senior Staff,1988-02-06,40000
51049,480096,Abdelaziz,Percebois,Senior Engineer,1996-08-29,58001
49086,469365,Abdelaziz,Schiper,Senior Staff,1993-01-27,54997
16325,98079,Abdelaziz,Stiles,Senior Staff,1992-10-05,40000
45869,451600,Abdelaziz,Thisen,Senior Engineer,1987-01-11,41508
17426,104092,Abdelaziz,Vitiello,Assistant Engineer,1998-12-27,48196
2801,25225,Abdelaziz,Vrecion,Engineer,1996-02-21,63803
52926,490204,Abdelaziz,Waymire,Senior Staff,1990-07-24,62220
19558,205568,Abdelghani,Aingworth,Senior Staff,1992-09-22,72325
5234,38267,Abdelghani,Armand,Senior Engineer,2002-03-25,53738
16644,99804,Abdelghani,Benner,Senior Engineer,2002-01-13,58433
24205,231243,Abdelghani,Birta,Senior Staff,1988-11-14,40000
18527,109915,Abdelghani,Cannane,Senior Staff,1992-11-19,40025
34263,286902,Abdelghani,Cannata,Engineer,1997-04-30,40000
42769,434084,Abdelghani,Cappello,Senior Staff,1995-06-12,90879
25875,240160,Abdelghani,Clouatre,Senior Engineer,1985-03-15,43851
46276,453955,Abdelghani,Covnot,Senior Engineer,1994-07-26,45463
15706,94574,Abdelghani,Dulli,Senior Staff,1991-09-09,41871
3480,28770,Abdelghani,Farris,Senior Engineer,1993-05-28,49773
32075,274996,Abdelghani,Fioravanti,Senior Engineer,1998-02-14,40000
40753,422588,Abdelghani,Gimarc,Senior Engineer,1988-10-25,40000
17672,105441,Abdelghani,Haldar,Senior Staff,1985-04-03,77975
39728,416899,Abdelghani,Heijenga,Engineer,1997-05-26,42236
23863,229415,Abdelghani,Ibel,Senior Engineer,1992-03-02,48782
1348,17468,Abdelghani,Irland,Senior Staff,1996-06-13,59122
46434,454863,Abdelghani,Krichel,Senior Engineer,1988-12-07,44471
26641,244946,Abdelghani,Lubachevsky,Senior Engineer,1985-10-04,40000
8225,54783,Abdelghani,Nannarelli,Senior Engineer,1991-01-08,53971
