emp_no,first_name,last_name,title,from_date,to_date
10095,Hilari,Morton,Senior Staff,2000-03-09,9999-01-01
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01
10291,Dipayan,Seghrouchni,Senior Staff,1994-03-30,9999-01-01
10476,Kokou,Iisaka,Senior Staff,1994-09-20,9999-01-01
10663,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01
10762,Lech,Himler,Senior Staff,1999-01-21,9999-01-01
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01
12155,Keiichiro,Glinert,Senior Engineer,2001-09-16,9999-01-01
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01
14075,Denny,Tchuente,Engineer,1998-05-30,9999-01-01
14104,Sudhanshu,Demian,Senior Staff,1999-07-23,9999-01-01
14127,Magdalena,Cannard,Senior Engineer,2002-04-22,9999-01-01
14158,Caolyn,Setiz,Senior Staff,1996-02-06,9999-01-01
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01
14907,Nakhoon,Luga,Senior Staff,1994-12-18,9999-01-01
15050,Nikolaos,Kruskal,Senior Engineer,1996-12-16,9999-01-01
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01
15413,Arvin,Rabejac,Senior Engineer,2002-01-01,9999-01-01
16461,Remmert,Schahn,Senior Staff,1994-09-06,9999-01-01
16528,Gaurav,Swick,Engineer,2001-05-07,9999-01-01
17013,Morris,Garigliano,Senior Staff,2000-05-23,9999-01-01
17206,Berry,DeMori,Senior Engineer,1998-12-27,9999-01-01
17369,Yaghout,Kenevan,Senior Engineer,1998-01-28,9999-01-01
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01
17731,Gennady,Roison,Engineer,1997-12-06,9999-01-01
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01
17988,Mabhin,Calkin,Senior Engineer,1997-11-30,9999-01-01
18021,Adil,Matzke,Senior Engineer,1995-05-08,9999-01-01
18424,Filipp,Rousseau,Senior Engineer,2002-06-07,9999-01-01
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01
18810,Taiji,Jarecki,Senior Engineer,1999-06-27,9999-01-01
19236,Elzbieta,Morris,Senior Engineer,1993-07-12,9999-01-01
19350,Satoru,Yoshizawa,Senior Staff,1999-03-27,9999-01-01
19803,Ziva,Kowalchuk,Senior Engineer,1992-06-12,9999-01-01
20100,Utz,Heuter,Senior Staff,1995-06-15,9999-01-01
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01
20129,Rafael,Skafidas,Senior Engineer,2000-03-27,9999-01-01
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01
20500,Christoph,Trystram,Senior Staff,1998-10-15,9999-01-01
20885,Otmar,Rothenberg,Senior Engineer,1996-03-14,9999-01-01
21181,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,Senior Staff,1998-12-28,9999-01-01
22185,Huai,Birch,Engineer,2002-03-26,9999-01-01
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01
22455,Barry,Unno,Senior Staff,1999-11-16,9999-01-01
22926,Manibrata,Genther,Senior Engineer,1996-01-15,9999-01-01
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01
24080,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,Senior Engineer,2000-07-25,9999-01-01
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01
24553,Anwar,Passafiume,Senior Staff,1994-01-30,9999-01-01
24571,Cordelia,Gischer,Senior Engineer,1995-03-14,9999-01-01
25488,Ingmar,Basawa,Senior Staff,1997-11-08,9999-01-01
26629,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,Senior Engineer,2001-12-25,9999-01-01
26788,Zongyan,Dalphin,Senior Engineer,1993-04-23,9999-01-01
27331,Wanqing,Krohm,Senior Staff,1999-01-22,9999-01-01
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,9999-01-01
27620,Shuji,Kandlur,Senior Engineer,1997-03-02,9999-01-01
27686,Manu,Rosiles,Senior Staff,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,Engineer,1996-12-23,9999-01-01
27767,Tooru,Veldwijk,Senior Staff,2000-11-21,9999-01-01
28193,Xinglin,Mitsuhashi,Senior Engineer,1997-12-14,9999-01-01
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,9999-01-01
28988,Tua,Giveon,Technique Leader,1998-09-09,9999-01-01
29130,Xumin,Thorensen,Staff,1998-04-26,9999-01-01
29265,Gilbert,Calkin,Senior Staff,1994-03-21,9999-01-01
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,9999-01-01
