emp_no,first_name,last_name,title,from_date,salary
10001,Georgi,Facello,Senior Engineer,1986-06-26,60117
10004,Chirstian,Koblick,Engineer,1986-12-01,40054
10004,Chirstian,Koblick,Senior Engineer,1995-12-01,40054
10009,Sumant,Peac,Assistant Engineer,1985-02-18,60929
10009,Sumant,Peac,Engineer,1990-02-18,60929
10009,Sumant,Peac,Senior Engineer,1995-02-18,60929
10018,Kazuhide,Peha,Engineer,1987-04-03,55881
10018,Kazuhide,Peha,Senior Engineer,1995-04-03,55881
10035,Alain,Chappelet,Engineer,1988-09-05,41538
10035,Alain,Chappelet,Senior Engineer,1996-09-05,41538
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,67854
10058,Berhard,McFarlin,Senior Staff,1988-04-25,52787
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,69736
10066,Kwee,Schusler,Engineer,1992-02-26,69736
10066,Kwee,Schusler,Senior Engineer,1998-02-25,69736
10067,Claudi,Stavenow,Engineer,1987-03-04,44642
10067,Claudi,Stavenow,Senior Engineer,1996-03-03,44642
10070,Reuven,Garigliano,Technique Leader,1985-10-14,55999
10072,Hironoby,Sidou,Engineer,1989-05-21,40000
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,40000
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,47319
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,65957
10088,Jungsoon,Syrzycki,Staff,1988-09-02,65957
10100,Hironobu,Haraldson,Senior Staff,1994-09-21,54398
10100,Hironobu,Haraldson,Staff,1987-09-21,54398
10103,Akemi,Birch,Engineer,1998-01-12,68158
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,40000
10126,Kayoko,Valtorta,Staff,1985-09-08,40000
10129,Armond,Peir,Technique Leader,1996-01-16,40000
10130,Nishit,Casperson,Senior Engineer,1988-06-21,40000
10134,Diederik,Siprelle,Engineer,1987-12-12,40000
10134,Diederik,Siprelle,Senior Engineer,1994-12-12,40000
10138,Perry,Shimshoni,Engineer,1992-03-03,53574
10138,Perry,Shimshoni,Senior Engineer,2001-03-03,53574
10150,Zhenbing,Perng,Engineer,1986-11-16,70122
10150,Zhenbing,Perng,Senior Engineer,1995-11-16,70122
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,54246
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,48770
