emp_no,first_name,last_name,title,from_date,to_date
10095,Hilari,Morton,Senior Staff,1994-03-10,9999-01-01
10095,Hilari,Morton,Staff,1994-03-10,9999-01-01
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01
10291,Dipayan,Seghrouchni,Senior Staff,1987-03-30,9999-01-01
10291,Dipayan,Seghrouchni,Staff,1987-03-30,9999-01-01
10476,Kokou,Iisaka,Senior Staff,1987-09-20,9999-01-01
10476,Kokou,Iisaka,Staff,1987-09-20,9999-01-01
10663,Teunis,Noriega,Technique Leader,1999-02-12,9999-01-01
10762,Lech,Himler,Senior Staff,1992-01-21,9999-01-01
10762,Lech,Himler,Staff,1992-01-21,9999-01-01
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01
12155,Keiichiro,Glinert,Engineer,1993-09-16,9999-01-01
12155,Keiichiro,Glinert,Senior Engineer,1993-09-16,9999-01-01
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01
14075,Denny,Tchuente,Assistant Engineer,1991-05-30,9999-01-01
14075,Denny,Tchuente,Engineer,1991-05-30,9999-01-01
14104,Sudhanshu,Demian,Senior Staff,1994-07-23,9999-01-01
14104,Sudhanshu,Demian,Staff,1994-07-23,9999-01-01
14127,Magdalena,Cannard,Engineer,1994-04-22,9999-01-01
14127,Magdalena,Cannard,Senior Engineer,1994-04-22,9999-01-01
14158,Caolyn,Setiz,Senior Staff,1990-02-06,9999-01-01
14158,Caolyn,Setiz,Staff,1990-02-06,9999-01-01
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01
14907,Nakhoon,Luga,Senior Staff,1986-12-18,9999-01-01
14907,Nakhoon,Luga,Staff,1986-12-18,9999-01-01
15050,Nikolaos,Kruskal,Engineer,1990-12-17,9999-01-01
15050,Nikolaos,Kruskal,Senior Engineer,1990-12-17,9999-01-01
15058,Bouchung,Bugrara,Senior Staff,1990-06-18,9999-01-01
15058,Bouchung,Bugrara,Staff,1990-06-18,9999-01-01
15413,Arvin,Rabejac,Engineer,1994-01-01,9999-01-01
15413,Arvin,Rabejac,Senior Engineer,1994-01-01,9999-01-01
16461,Remmert,Schahn,Senior Staff,1986-09-06,9999-01-01
16461,Remmert,Schahn,Staff,1986-09-06,9999-01-01
16528,Gaurav,Swick,Assistant Engineer,1996-05-07,9999-01-01
16528,Gaurav,Swick,Engineer,1996-05-07,9999-01-01
17013,Morris,Garigliano,Senior Staff,1995-05-24,9999-01-01
17013,Morris,Garigliano,Staff,1995-05-24,9999-01-01
17206,Berry,DeMori,Engineer,1992-12-27,9999-01-01
17206,Berry,DeMori,Senior Engineer,1992-12-27,9999-01-01
17369,Yaghout,Kenevan,Engineer,2000-09-15,9999-01-01
17369,Yaghout,Kenevan,Senior Engineer,2000-09-15,9999-01-01
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01
17731,Gennady,Roison,Assistant Engineer,1989-12-06,9999-01-01
17731,Gennady,Roison,Engineer,1989-12-06,9999-01-01
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01
17988,Mabhin,Calkin,Engineer,1989-11-30,9999-01-01
